id,name
a189f8ea-e791-4c81-bd22-490cdf4591b1,Logo
d5f89497-55c5-4c5c-9272-be319f04b087,The A.V. Club
f5ce11dc-eddd-415f-9e12-bb085014c5f6,Exclaim
cd9d6f62-d07b-49e8-af6a-0db0773672de,The 405
72cdb8d5-cf1e-4ada-8111-f42ddd3e6167,Kerrang!
435ad61c-e657-4087-8f58-e66689f6ecc9,Beats Per Minute (formerly One Thirty BPM)
b8b054a5-2f02-4be9-b789-efd1e9b0dbcd,Expert Witness (MSN Music)
f672125d-b3b5-4dfb-ab79-d9e834eb894c,The Boston Phoenix
559aca81-06d2-4e93-aac7-807262b693f5,CMJ
6e890ea9-d4b9-4976-9d6b-03163632a4be,Paste Magazine
6b34d584-ff12-44d6-a65a-0d445f29c539,The Quietus
43c60794-16aa-4133-a92e-d2dbacedfec9,DJ Booth
f1e18dd4-e0dd-4d39-899c-2cb8115d1476,Punknews.org (Staff)
8dd2934a-b766-4e5d-a7e6-0ca8dffd1e04,E! Online
5267a0e4-0d2d-4a35-b815-c6db9aa867e3,Pitchfork
cc51a7fe-0a2a-4817-a814-35ab0cde43da,Splendid
cfae8a40-6671-4800-800c-0dec00c3abba,Rock Sound
85260d4f-2f68-406e-b747-ba554932d604,No Ripcord
e36d7e8c-cd9c-46f5-b24f-40853c982a84,Spin
235ed122-60d4-4542-a348-94539cd8f718,Prefix Magazine
440dfb93-96a7-4f0b-bb6e-cb68510668b2,Playlouder
e6a81ebc-5735-464c-9bf3-e90d8e5600eb,Trouser Press
6154ad7e-1a7f-487b-a65f-caae8a05da82,The New York Times
edf5fcf7-03b7-417b-b42b-3474ef1b38d1,Spin Cycle
07c9b103-81e3-425e-bdb0-3ad0b968eff2,Armchair DJ
730addc2-f2bb-4a5c-964f-42fb21281ac3,Sputnikmusic
2846c933-a0f9-4801-bc67-d24be81b2b83,DIY Magazine
133ea9b0-8f87-4234-a5a9-18a83d9bce5a,Uncut
6bd085ae-3398-4296-b34a-13cabde71a9d,Flak Magazine
271d9764-9350-4c6d-ab70-b9b7943895c8,Fact Magazine (UK)
e702fe7f-bc7e-43fd-9e88-2e6354ee2f62,Sonicnet
d1b9961d-476e-459b-9d11-fc9d6b0175ab,CDNow
8f14ad6e-5a25-46e7-8655-7705ccf1e53e,Drowned In Sound
9e8fdd57-3b51-4725-84e4-f843629e9eda,Hartford Courant
91db8eea-a394-4f86-bf6e-49434deb5fff,The Independent on Sunday (UK)
765e6da6-6cfd-4e5f-b1d7-55fcfc40c53a,The Fly (UK)
d2fc38fb-953a-4448-ba9e-ad613c7023c3,Mojo
a21bae3c-d35b-4e57-b2bf-ce7a2b42aae7,cokemachineglow
3304e08b-9a5f-4e12-9d1e-c351cdf13a0c,L.A. Weekly
19e89186-4951-4a1c-b477-ec35503f07f7,Salon.com
0f74232b-d84d-4988-8de9-f2ad2fef1ede,Dusted Magazine
4be035e8-fdd0-4d7c-b7c9-38a6ce41b2b2,The Skinny
4db94751-4c3c-47b6-b5d6-2ebb752f5cd2,Junkmedia
a8a72c64-de0f-4f71-b711-7a380dee97b4,The Wire
dd03d225-c9ca-4188-b396-b1354e121c6e,Clash Music
d55c1a78-e5a9-4af8-b8c7-51863ec23f22,Chicago Tribune
d0799783-8874-4cd0-8816-c5d7dca53a90,Boston Globe
ae84192a-0db3-4ccf-bab4-9cbc51a3a6f8,Almost Cool
5fadb989-a0fb-4942-bbc3-daf21e7e6ed3,Classic Rock Magazine
d034d628-fee2-481b-a5a2-65c32383f92c,American Songwriter
a6f36f5e-119f-4d16-aeec-22df207594fc,HipHopDX
e169f2e2-a256-4156-bb49-14356d1c7b5a,Record Collector
de7bafa3-ad4b-499b-92f6-ee020096202e,Los Angeles Times
9181e3d6-4ab0-4021-8970-f184ca28daff,Epilogue Music
4b4a94df-157a-49f1-a9ea-3a025c5f50f0,Mixer
e3990b5a-3e64-4d72-bc2c-424b96819a46,Neumu.net
ec5af3cf-b196-4280-a20e-e3078a91926a,Puncture
6a6c63e0-344e-4fd2-aff3-5d4450150b65,musicOMH.com
0c63e045-ccc6-453c-9aa4-23b33e6f263d,Revolver
1a8e56d5-6c5c-45a8-b26e-6a7849253806,Wall of Sound
6bca6e14-3745-4412-b577-09e1eb0784fc,MTV.com
d9d2fc2f-2a65-453f-96d6-855adbb7984f,Pretty Much Amazing
dcc82902-8c80-4057-b3b4-e2b0316805c0,Magnet
95317eef-598e-45a8-a3c9-843ae622650e,Blurt Magazine
7f9d87de-fe7d-4f10-bd33-569f79132d7e,RapReviews.com
8c8ce906-5da9-4273-a0b3-ae7044f3de13,Urb
8b567414-1498-4433-b615-f39f9d93037f,Observer Music Monthly
8af51262-5d50-4052-97e3-bc2b4138fd6d,Alternative Press
28170a80-befa-45f5-bc43-7ae71d51ea72,Checkout.com
ee5f3073-626f-4675-b9ef-4300476ea258,XXL
31750125-bde6-42cf-9991-e07f07be50bb,Resident Advisor
0eb4e4eb-710d-4335-b214-9be9e8e37383,ShakingThrough.net
95587356-3936-440d-b42c-a0b6da2de656,The Source
a12530bd-c817-4413-bf99-39ce30b22942,BBC collective
c8d62c9d-6378-41c4-899b-d1e5d6e09c8b,Nude As The News
8f40624d-7823-43e4-a280-0bc3a4c0a0d3,AllMusic
d43cc580-726b-432b-8a1e-7bd9bbe92c74,Billboard
b6880965-3ad4-48e4-8631-e9e1566a3735,BBC Music
904efda6-dffe-478d-af03-cd491698dfbd,The Line of Best Fit
d81d062c-df7c-48f2-aac5-cd4057684eae,XLR8r
885a6979-8860-4ea4-846f-a58cbd3e4e00,Filter
7d53deba-9f11-4f2b-925e-5fb9dbb6aa25,Planet
59250687-3554-4518-b86f-49118d1452f2,Metal Hammer (UK)
17a03654-6960-4657-944c-f79281506798,Alternative Press (Record Of The Week)
10475d12-fe18-4b02-86d6-d2553230bf1b,Ink Blot Magazine
25c7e01f-6192-42ad-9138-ecc5be997e87,Country Weekly
15704ba6-0890-4afa-a825-e04960031721,Village Voice (Consumer Guide)
7ecd3af5-f920-4448-8ee9-81ab2a23adb0,Resonance
4b3db87e-2fa3-402f-860f-d45a2401b85a,Okayplayer
c85deab7-6273-4bbe-b533-b006af2c90b0,Entertainment Weekly
1e9ed04c-cb99-45f2-b046-672818797081,Absolute Punk (Staff reviews)
9f29cf5a-6b0f-402c-bc07-42feba5d9aa7,MSN Consumer Guide (Robert Christgau)
1b158635-a6de-4361-b6df-9f8f892718f0,Outburn
a191175e-9b5c-4d70-ada7-5aaf7a1cfd3f,Mixmag
e9d8434c-bab5-465c-9574-7786760da41b,Delusions of Adequacy
0a944835-ed0e-4778-b5b1-1e932970c57d,Lost At Sea
b19ffba8-3cfc-4b89-b7fe-8e47115cb099,Billboard.com
49635e15-18a6-4e12-ab60-75ef621d5198,Amazon.com
af9ee374-3c4e-4e21-b410-2762e51f7ca9,The Telegraph (UK)
e989c51f-c14c-426c-aa96-f00ce2bae024,Launch.com
d86f0849-a4d0-4499-964c-44ce1ecbe658,Revolution
623768cd-48a7-4c68-bed9-6674756c8145,Select
f4a2c79e-0cd6-4da2-96c7-8d203e7b6a0d,CultureDose.net
b806ab41-626f-4946-b65d-6938401b9d1e,NOW Magazine
39a45c57-f2a5-4e1d-a4ee-17009efbe87d,New York Daily News (Jim Faber)
4c3bd193-b7c2-496a-b56c-a112c03f4a96,Drawer B
0ec6c4e5-d1a0-4fe9-ad23-815b9849abdb,New York Magazine (Vulture)
18b4537e-ecd8-49ea-8523-9f2b6366515d,Q Magazine
406d6c62-f065-4617-9736-d3b2804a8e4e,Rolling Stone
cbff3da8-4738-48ba-b40c-6c6b60f39ddb,Slant Magazine
9f2cf230-67f7-49c9-ae16-dbdfdc8a4815,Shredding Paper
2f42d6eb-34ca-49d2-85c0-9f6c8c51e3d1,The Observer (UK)
7167a301-e7e5-428e-90e2-33a95866fd6b,Under The Radar
31f9ab16-85b5-4c82-9ef7-46ce8b7f714b,Consequence of Sound
36c5471a-b29d-43f3-a469-aef4b36241cf,Blender
83f3a1e6-47a5-40e3-a512-ee6e952cde86,The Independent (UK)
ec04e0e0-860f-495e-9802-42b7b95d9600,Complex
6aafe643-2dd5-42b9-9ad0-cae51b61eb04,Hot Press
3e060ad3-c38e-448d-9245-0fb8d0add993,PopMatters
171aa7d3-6618-4578-b653-8ffdd3a5d616,Village Voice
c22e4286-7b0f-4427-9490-8c14266da334,HOB.com
d1fc9403-f072-4d89-8472-1406c3e0c901,Vibe
49785ef6-e420-416a-b219-a1029e888522,Tiny Mix Tapes
6a47591a-8942-49a1-9ea7-7147fbc84ca7,Ink 19
403b2b1e-a9fa-42d1-89dd-3c840d9025ad,The Guardian
b5f2bf1e-7ca4-4767-95ca-9f6f3d29c428,Austin Chronicle
4b0b8444-4cd6-4301-9251-546222119a2d,Stylus Magazine
06193874-b01f-4bde-be51-7e4ca2b595e0,New Musical Express (NME)
c1adaf12-1ac0-43ad-af5b-6468d464077c,Dot Music
